536768.11,7358873.90,133.62
536762.26,7358874.60,134.18
536762.24,7358874.76,135.17
536762.25,7358874.62,136.10
536762.18,7358874.57,137.15
536766.01,7358875.27,135.08
536765.72,7358874.74,134.09
536765.68,7358874.66,135.20
536766.01,7358875.26,135.99
536765.99,7358875.43,136.86
536765.72,7358874.17,136.08
536765.79,7358874.37,137.29
536762.13,7358874.57,138.09
536762.00,7358874.54,139.13
536766.00,7358875.20,138.49
536765.98,7358875.45,139.01
536765.76,7358874.57,138.12
536765.72,7358874.28,139.19
536765.72,7358874.56,140.17
536765.50,7358874.45,141.14
536766.98,7358876.19,134.96
536767.22,7358876.14,134.09
